sku,quantity,low_stock_threshold
AASH-ATTA-1KG,150,20
AASH-ATTA-2KG,100,15
AASH-ATTA-5KG,80,12
AASH-ATTA-10KG,50,8
PILL-ATTA-5KG,60,10
FORT-OIL-1L,100,15
FORT-OIL-5L,40,8
DHAR-MUST-1L,80,12
SAFF-GOLD-1L,60,10
TATA-SALT-1KG,200,30
TATA-SALT-500G,150,25
CATCH-SALT-1KG,120,20
IG-RICE-1KG,150,25
IG-RICE-5KG,70,12
DAAW-RICE-1KG,120,20
DAAW-RICE-5KG,60,10
TOOR-DAL-1KG,100,15
MOONG-DAL-1KG,80,12
CHANA-DAL-1KG,110,18
MASOOR-DAL-1KG,90,15
AMUL-BUTTER-100G,80,12
AMUL-BUTTER-500G,50,8
AMUL-GHEE-500ML,40,6
NAND-GHEE-500ML,35,5
TATA-TEA-250G,100,15
TATA-TEA-500G,70,10
TAJ-TEA-500G,60,10
NES-COFFEE-50G,80,12
BRU-COFFEE-50G,70,12
PARLE-G-800G,150,25
GOOD-DAY-200G,120,20
MARIE-250G,130,22
BOURBON-150G,100,18
HALDI-BHUJ-200G,90,15
KURK-MAS-140G,150,25
LAYS-CHIPS-90G,150,25
COKE-1.25L,80,12
PEPSI-1.25L,80,12
SPRITE-1.25L,60,10
THUMBS-1.25L,60,10
FROOTI-1L,100,15
MAAZA-1L,80,12
REAL-JUICE-1L,50,8
TROPI-JUICE-1L,40,6
