product_name,category_name,brand,size,packaging,sku,price,mrp_price,selling_price,gst_percent,image_url,quantity,low_stock_threshold
Aashirvaad Atta,Flour,Aashirvaad,1kg,POUCH,AASH-ATTA-1KG,48.00,52.00,50.00,5.00,,80,15
Aashirvaad Atta,Flour,Aashirvaad,2kg,POUCH,AASH-ATTA-2KG,95.00,102.00,98.00,5.00,,60,12
Aashirvaad Atta,Flour,Aashirvaad,5kg,POUCH,AASH-ATTA-5KG,240.00,260.00,245.00,5.00,,50,10
Aashirvaad Atta,Flour,Aashirvaad,10kg,POUCH,AASH-ATTA-10KG,475.00,510.00,490.00,5.00,,30,5
Pillsbury Atta,Flour,Pillsbury,5kg,POUCH,PILL-ATTA-5KG,235.00,255.00,240.00,5.00,,40,8
Fortune Sunflower Oil,Cooking Oil,Fortune,1L,BOTTLE,FORT-OIL-1L,145.00,170.00,155.00,12.00,,60,10
Fortune Sunflower Oil,Cooking Oil,Fortune,5L,CAN,FORT-OIL-5L,710.00,800.00,750.00,12.00,,25,5
Dhara Mustard Oil,Cooking Oil,Dhara,1L,BOTTLE,DHAR-MUST-1L,160.00,180.00,170.00,12.00,,50,10
Saffola Gold Oil,Cooking Oil,Saffola,1L,BOTTLE,SAFF-GOLD-1L,190.00,220.00,205.00,12.00,,40,8
Tata Salt,Salt,Tata,1kg,POUCH,TATA-SALT-1KG,18.00,22.00,20.00,5.00,,150,30
Tata Salt,Salt,Tata,500g,POUCH,TATA-SALT-500G,10.00,12.00,11.00,5.00,,100,20
Catch Salt,Salt,Catch,1kg,POUCH,CATCH-SALT-1KG,19.00,23.00,21.00,5.00,,80,15
India Gate Basmati Rice,Rice,India Gate,1kg,POUCH,IG-RICE-1KG,85.00,95.00,90.00,5.00,,100,20
India Gate Basmati Rice,Rice,India Gate,5kg,POUCH,IG-RICE-5KG,380.00,420.00,400.00,5.00,,50,10
Daawat Basmati Rice,Rice,Daawat,1kg,POUCH,DAAW-RICE-1KG,90.00,100.00,95.00,5.00,,80,15
Daawat Basmati Rice,Rice,Daawat,5kg,POUCH,DAAW-RICE-5KG,400.00,450.00,425.00,5.00,,40,8
Toor Dal,Dal & Pulses,Unbranded,1kg,POUCH,TOOR-DAL-1KG,110.00,125.00,118.00,5.00,,70,15
Moong Dal,Dal & Pulses,Unbranded,1kg,POUCH,MOONG-DAL-1KG,105.00,120.00,112.00,5.00,,60,12
Chana Dal,Dal & Pulses,Unbranded,1kg,POUCH,CHANA-DAL-1KG,80.00,90.00,85.00,5.00,,80,15
Masoor Dal,Dal & Pulses,Unbranded,1kg,POUCH,MASOOR-DAL-1KG,95.00,108.00,100.00,5.00,,70,15
Amul Butter,Ghee & Butter,Amul,100g,BOX,AMUL-BUTTER-100G,55.00,60.00,58.00,12.00,,50,10
Amul Butter,Ghee & Butter,Amul,500g,BOX,AMUL-BUTTER-500G,240.00,260.00,250.00,12.00,,30,6
Amul Ghee,Ghee & Butter,Amul,500ml,BOTTLE,AMUL-GHEE-500ML,290.00,320.00,305.00,12.00,,25,5
Nandini Ghee,Ghee & Butter,Nandini,500ml,BOTTLE,NAND-GHEE-500ML,280.00,310.00,295.00,12.00,,20,5
Tata Tea Premium,Tea & Coffee,Tata,250g,POUCH,TATA-TEA-250G,90.00,100.00,95.00,5.00,,60,12
Tata Tea Premium,Tea & Coffee,Tata,500g,POUCH,TATA-TEA-500G,175.00,190.00,180.00,5.00,,40,8
Taj Mahal Tea,Tea & Coffee,Brooke Bond,500g,POUCH,TAJ-TEA-500G,180.00,200.00,190.00,5.00,,35,7
Nescafe Classic Coffee,Tea & Coffee,Nescafe,50g,BOTTLE,NES-COFFEE-50G,120.00,140.00,130.00,12.00,,50,10
Bru Instant Coffee,Tea & Coffee,Bru,50g,BOTTLE,BRU-COFFEE-50G,115.00,135.00,125.00,12.00,,45,9
Parle-G Biscuits,Biscuits,Parle,800g,POUCH,PARLE-G-800G,45.00,50.00,48.00,12.00,,100,20
Good Day Biscuits,Biscuits,Britannia,200g,POUCH,GOOD-DAY-200G,32.00,38.00,35.00,12.00,,80,15
Marie Gold Biscuits,Biscuits,Britannia,250g,POUCH,MARIE-250G,28.00,32.00,30.00,12.00,,90,18
Bourbon Biscuits,Biscuits,Britannia,150g,POUCH,BOURBON-150G,30.00,35.00,32.00,12.00,,70,14
Haldiram Bhujia,Namkeen,Haldiram,200g,POUCH,HALDI-BHUJ-200G,45.00,52.00,48.00,12.00,,60,12
Kurkure Masala Munch,Namkeen,Kurkure,140g,POUCH,KURK-MAS-140G,20.00,25.00,22.00,12.00,,100,20
Lays Chips,Namkeen,Lays,90g,POUCH,LAYS-CHIPS-90G,20.00,25.00,22.00,12.00,,100,20
Coca Cola,Cold Drinks,Coca Cola,1.25L,BOTTLE,COKE-1.25L,60.00,70.00,65.00,18.00,,50,10
Pepsi,Cold Drinks,PepsiCo,1.25L,BOTTLE,PEPSI-1.25L,60.00,70.00,65.00,18.00,,50,10
