name,phone,email,address
ITC Limited,9998881001,itc@supplier.com,ITC House Kolkata
Hindustan Unilever,9998881002,hul@supply.com,HUL Campus Mumbai
Britannia Industries,9998881003,britannia@dist.com,Britannia Complex Bangalore
Parle Products,9998881004,parle@supplier.com,Parle House Mumbai
Haldiram Manufacturing,9998881005,haldiram@supply.com,Haldiram Bhawan Nagpur
Dabur India Ltd,9998881006,dabur@supplier.com,Dabur Tower New Delhi
Marico Limited,9998881007,marico@supply.com,Marico House Mumbai
Godrej Consumer,9998881008,godrej@supplier.com,Godrej Complex Mumbai
Nestle India,9998881009,nestle@supply.com,Nestle Building Gurgaon
PepsiCo India,9998881010,pepsico@dist.com,PepsiCo Campus Gurgaon
Coca Cola India,9998881011,cocacola@supply.com,Coca Cola Hub Bangalore
Mother Dairy,9998881012,motherdairy@dairy.com,Mother Dairy Complex Delhi
Kwality Walls,9998881013,kwality@supplier.com,Kwality Factory Noida
Vadilal Industries,9998881014,vadilal@supply.com,Vadilal House Ahmedabad
Havmor Ice Cream,9998881015,havmor@supplier.com,Havmor Plant Ahmedabad
